Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,758.2,776.6,758.1,775.6,3746100,775.6
2013-01-31,750.51,757.62,750.25,755.69,1634200,755.69
2013-01-30,753.74,760.95,752.91,753.83,1733000,753.83
2013-01-29,746.75,756.95,746.54,753.68,1747100,753.68
2013-01-28,751.76,755.6,747.89,750.73,1627100,750.73
2013-01-25,750.77,758.48,750.25,753.67,2225900,753.67
2013-01-24,741.24,756.83,740.51,754.21,3382700,754.21
2013-01-23,735.99,749.0,735.79,741.5,5909100,741.5
2013-01-22,704.66,705.34,695.52,702.87,3779100,702.87
2013-01-18,710.36,712.77,701.33,704.51,3226800,704.51
2013-01-17,717.71,719.64,711.02,711.32,2211500,711.32
2013-01-16,722.4,724.34,713.67,715.19,2023400,715.19
2013-01-15,719.33,735.0,712.1,724.93,3927700,724.93
2013-01-14,737.0,742.2,722.35,723.25,2863900,723.25
2013-01-11,742.0,742.43,736.3,739.99,1285200,739.99
2013-01-10,742.83,745.0,733.5,741.48,1835700,741.48
2013-01-09,732.27,738.35,728.6,738.12,2024700,738.12
2013-01-08,735.54,736.3,724.43,733.3,1676100,733.3
2013-01-07,735.45,739.38,730.58,734.75,1655700,734.75
2013-01-04,729.34,741.47,727.68,737.97,2763500,737.97
2013-01-03,724.93,731.93,720.72,723.67,2318200,723.67
2013-01-02,719.42,727.0,716.55,723.25,2541300,723.25
2012-12-31,700.0,710.57,696.0,707.38,1997400,707.38
2012-12-28,701.69,706.91,700.01,700.01,1402000,700.01
2012-12-27,707.14,708.84,698.61,706.29,1647400,706.29
2012-12-26,708.07,712.88,702.41,708.87,1182400,708.87
2012-12-24,714.51,715.18,707.47,709.5,840900,709.5
2012-12-21,713.97,718.82,710.52,715.63,3526000,715.63
2012-12-20,723.26,724.65,716.97,722.36,1657000,722.36
2012-12-19,720.71,723.0,716.68,720.11,1918600,720.11
2012-12-18,716.6,729.1,715.05,721.07,3004900,721.07
2012-12-17,705.5,721.92,704.02,720.78,3035400,720.78
2012-12-14,699.17,707.82,698.43,701.96,2130100,701.96
2012-12-13,715.92,716.47,699.55,702.7,3444900,702.7
2012-12-12,699.23,703.51,693.48,697.56,2426000,697.56
2012-12-11,690.0,701.92,687.72,696.88,2687600,696.88
2012-12-10,685.39,691.65,683.79,685.42,1366700,685.42
2012-12-07,695.0,696.88,682.42,684.21,1919300,684.21
2012-12-06,687.59,695.61,684.51,691.13,1462300,691.13
2012-12-05,692.15,694.5,682.33,687.82,1862400,687.82
2012-12-04,695.0,695.51,685.7,691.03,1991700,691.03
2012-12-03,702.24,705.89,694.11,695.25,2192500,695.25
2012-11-30,691.31,699.22,685.69,698.37,3163600,698.37
2012-11-29,687.78,693.9,682.0,691.89,2776500,691.89
2012-11-28,668.01,684.91,663.89,683.67,3042000,683.67
2012-11-27,660.17,675.0,658.0,670.71,2508700,670.71
2012-11-26,666.44,667.0,659.02,661.15,2204600,661.15
2012-11-23,669.97,670.0,666.1,667.97,922500,667.97
2012-11-21,668.99,669.8,660.4,665.87,2112200,665.87
2012-11-20,669.51,678.0,664.57,669.97,2088700,669.97
2012-11-19,655.7,668.92,655.53,668.21,2368200,668.21
2012-11-16,645.99,653.02,636.0,647.18,3438200,647.18
2012-11-15,650.0,660.0,643.9,647.26,1848900,647.26
2012-11-14,660.66,662.18,650.5,652.55,1668400,652.55
2012-11-13,663.0,667.6,658.23,659.05,1594200,659.05
2012-11-12,663.75,669.8,660.87,665.9,1405900,665.9
2012-11-09,654.65,668.34,650.3,663.03,3114100,663.03
2012-11-08,670.2,671.49,651.23,652.29,2597000,652.29
2012-11-07,675.0,678.23,666.49,667.12,2232300,667.12
2012-11-06,685.48,686.5,677.55,681.72,1582800,681.72
2012-11-05,684.5,686.86,675.56,682.96,1635900,682.96
2012-11-02,694.79,695.55,687.37,687.92,2324400,687.92
2012-11-01,679.5,690.9,678.72,687.59,2050100,687.59
2012-10-31,679.86,681.0,675.0,680.3,1537000,680.3
2012-10-26,676.5,683.03,671.2,675.15,1950800,675.15
2012-10-25,680.0,682.0,673.51,677.76,2401100,677.76
2012-10-24,686.8,687.0,675.27,677.3,2496500,677.3
2012-10-23,672.01,687.33,672.0,680.35,2916600,680.35
2012-10-22,681.01,684.63,669.7,678.67,4055600,678.67
2012-10-19,705.58,706.7,672.0,681.79,11482200,681.79
2012-10-18,755.54,759.42,676.0,695.0,12442400,695.0
2012-10-17,743.95,756.34,740.26,755.49,2292900,755.49
2012-10-16,740.13,746.99,736.46,744.7,2058200,744.7
2012-10-15,741.94,743.83,730.7,740.98,3019100,740.98
2012-10-12,751.85,754.87,744.1,744.75,2404200,744.75
2012-10-11,752.9,758.5,750.29,751.48,2383900,751.48
2012-10-10,741.86,747.53,738.29,744.56,2039900,744.56
2012-10-09,759.67,761.32,742.53,744.09,3003200,744.09
2012-10-08,761.0,763.58,754.15,757.84,1958600,757.84
2012-10-05,770.71,774.38,765.01,767.65,2735900,767.65
2012-10-04,762.75,769.89,759.4,768.05,2454200,768.05
2012-10-03,755.72,763.92,752.2,762.5,2208300,762.5
2012-10-02,765.2,765.99,750.27,756.99,2790200,756.99
2012-10-01,759.05,765.0,756.21,761.78,3168000,761.78
2012-09-28,754.15,759.3,751.15,754.5,2783500,754.5
2012-09-27,759.95,762.84,751.65,756.5,3931100,756.5
2012-09-26,749.85,761.24,741.0,753.46,5672900,753.46
2012-09-25,753.05,764.89,747.66,749.16,6058500,749.16
2012-09-24,731.0,750.04,730.25,749.38,3563800,749.38
2012-09-21,732.21,734.92,730.12,733.99,6359100,733.99
2012-09-20,724.47,731.38,721.22,728.12,2907400,728.12
2012-09-19,717.5,728.56,716.41,727.5,3098300,727.5
2012-09-18,707.78,718.66,706.78,718.28,2066800,718.28
2012-09-17,708.11,712.88,705.0,709.98,1508300,709.98
2012-09-14,709.6,713.0,707.01,709.68,2618500,709.68
2012-09-13,693.09,709.0,690.54,706.04,2659000,706.04
